#-----------------------------------------------------------
# xsim v2020.2 (64-bit)
# SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
# IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
# Start of session at: Wed May 22 22:46:35 2024
# Process ID: 10104
# Current directory: C:/Users/atomi/GitHub/hw-viv/div_archive
# Command line: xsim.exe -mode tcl -source {xsim.dir/div_tb_snapshot_p2/xsim_script.tcl}
# Log file: C:/Users/atomi/GitHub/hw-viv/div_archive/xsim.log
# Journal file: C:/Users/atomi/GitHub/hw-viv/div_archive\xsim.jou
#-----------------------------------------------------------
source xsim.dir/div_tb_snapshot_p2/xsim_script.tcl
# xsim {div_tb_snapshot_p2} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
start of checking module div32p2
r  5512759216159187464 1589226250  453937344             57091214
q  1354506131474579519  502267777 2995954199           2696780867
r  1354506131474579519  502267777  103704937            350356860
q   143918662068388235  130490908 1773439757           1102901836
r   143918662068388235  130490908   61739156             53881147
q    89150779032529845   94007086  540083453            948341054
r    89150779032529845   94007086   81094538             11821201
q    56156558004743155   36848537  300666407           1523983381
r    56156558004743155   36848537   25138609              2579558
q     1633858364500536   33402066 1766724787             48914889
r     1633858364500536   33402066    2343210             13739862
q     1780101966887264    8795200 2295186143            202394711
r     1780101966887264    8795200    4193344              4700064
q     4743843472079732    5163148 2545575691            918788977
r     4743843472079732    5163148    3476988              3060136
q     1688187343597747     858939 1330994383           1965433335
r     1688187343597747     858939     444235               266182
q      871540606442151    1632059 3114262415            534012928
r      871540606442151    1632059     356619              1183399
q      148851699639557      37981 1233950742           3919109545
r      148851699639557      37981       2050                10912
q      238204991323073     276749 2837326949            860725752
r      238204991323073     276749      82399               182825
q      197979559463187      65167   57009632           3038033966
r      197979559463187      65167      22496                  865
q      221767991412314      94721  644192949           2341275867
r      221767991412314      94721      52043                14207
q       49572848463628      37065 1657962823           1337457128
r       49572848463628      37065      36673                14308
q       32983356732380      32181 3176148401           1024932622
r       32983356732380      32181      17627                23798
q       49034002820976      12295 2616803579           3988125483
r       49034002820976      12295      10531                 7491
q       25965491209934       7429 2206164383           3495152942
r       25965491209934       7429        229                 3816
q         598239163831       4010 3856902053            149186823
r         598239163831       4010        366                 3601
q         695809754431        442 2769379365           1574230213
r         695809754431        442         30                  285
q        1151474219968        348 1826595286           3308833965
r        1151474219968        348        280                  148
q         831697127495        469  989032980           1773341423
r         831697127495        469        348                  108
q          93116145327        237 4131867272            392895127
r          93116145327        237         24                  228
q         551147662952        144  238609294           3827414326
r         551147662952        144         32                    8
q  4366240689731616321 1519116175 3021481691           2874198011
